# integrator: Langevin BAOAB
# timestep_fs: 1.0
# seed: 0
# n_atoms: 22
# dof: 63
# temperature_dof_convention: 3N - 3 (centre of mass pinned)
# calculator: MACE(model='MACE-OFF23_small', cueq=False, energy_reference='atoms', dtype='float32')
# dtype: float32
# energy_offset_eV: -13406.88400353325
# pbc: [False, False, False]
# neighborlist_capacity: 384
# device: gpu
# ensemble: NVT
# temperature_K: 300.0
# friction_per_fs: 0.01
# fix_com: True
# step	time_fs	T_K	E_pot_eV	E_kin_eV	E_tot_eV	dE_tot_eV
165000	165000.000	212.924	-94.27629403	0.57797390	-93.69832013	7.931e-01
165500	165500.000	274.085	-94.41923805	0.74399197	-93.67524608	8.162e-01
166000	166000.000	330.972	-94.55206088	0.89841044	-93.65365044	8.378e-01
166500	166500.000	297.235	-94.56342333	0.80683202	-93.75659131	7.349e-01
167000	167000.000	298.221	-94.65193901	0.80950767	-93.84243134	6.490e-01
167500	167500.000	364.232	-94.53259097	0.98869228	-93.54389869	9.476e-01
168000	168000.000	325.068	-94.42151963	0.88238394	-93.53913569	9.523e-01
168500	168500.000	318.142	-94.87403113	0.86358392	-94.01044721	4.810e-01
169000	169000.000	378.512	-94.47496317	1.02745545	-93.44750772	1.044e+00
169500	169500.000	278.781	-94.56690278	0.75673884	-93.81016394	6.813e-01
170000	170000.000	270.654	-94.52309020	0.73468029	-93.78840990	7.030e-01
170500	170500.000	318.773	-94.48554990	0.86529505	-93.62025484	8.712e-01
171000	171000.000	411.732	-94.74323074	1.11763000	-93.62560073	8.659e-01
171500	171500.000	297.617	-94.64433892	0.80786812	-93.83647079	6.550e-01
172000	172000.000	376.694	-94.31656041	1.02252162	-93.29403879	1.197e+00
172500	172500.000	276.177	-94.49034354	0.74966991	-93.74067363	7.508e-01
173000	173000.000	360.457	-94.22712288	0.97844583	-93.24867705	1.243e+00
173500	173500.000	307.674	-94.42984974	0.83516836	-93.59468138	8.968e-01
174000	174000.000	220.104	-94.15059152	0.59746248	-93.55312905	9.383e-01
174500	174500.000	396.189	-94.35458729	1.07543945	-93.27914784	1.212e+00
175000	175000.000	301.336	-94.26915210	0.81796438	-93.45118773	1.040e+00
175500	175500.000	257.368	-94.41585864	0.69861364	-93.71724499	7.742e-01
176000	176000.000	335.762	-94.27986234	0.91141140	-93.36845093	1.123e+00
176500	176500.000	277.172	-94.39735726	0.75237107	-93.64498618	8.465e-01
177000	177000.000	337.834	-94.59117597	0.91703618	-93.67413980	8.173e-01
177500	177500.000	287.863	-94.46294791	0.78139228	-93.68155564	8.099e-01
178000	178000.000	270.301	-94.73208198	0.73372018	-93.99836180	4.931e-01
178500	178500.000	432.833	-94.56793812	1.17490780	-93.39303032	1.098e+00
179000	179000.000	276.453	-94.73727625	0.75041902	-93.98685722	5.046e-01
179500	179500.000	308.104	-94.32641766	0.83633435	-93.49008331	1.001e+00
180000	180000.000	294.875	-94.26013283	0.80042613	-93.45970670	1.032e+00
180500	180500.000	302.348	-94.67707488	0.82071185	-93.85636303	6.351e-01
181000	181000.000	241.743	-94.35384289	0.65620178	-93.69764111	7.938e-01
181500	181500.000	228.342	-94.47382564	0.61982381	-93.85400183	6.375e-01
182000	182000.000	209.285	-94.57316748	0.56809568	-94.00507180	4.864e-01
182500	182500.000	226.594	-94.45217389	0.61508048	-93.83709341	6.544e-01
183000	183000.000	281.701	-94.56737928	0.76466572	-93.80271356	6.887e-01
183500	183500.000	258.127	-94.39719851	0.70067632	-93.69652219	7.949e-01
184000	184000.000	243.212	-94.61511149	0.66018951	-93.95492198	5.365e-01
184500	184500.000	271.226	-94.47021030	0.73623091	-93.73397939	7.575e-01
185000	185000.000	259.492	-94.61885544	0.70438099	-93.91447445	5.770e-01
185500	185500.000	305.571	-94.53279409	0.82946128	-93.70333281	7.881e-01
186000	186000.000	218.178	-94.61899693	0.59223616	-94.02676077	4.647e-01
186500	186500.000	264.411	-94.28314376	0.71773338	-93.56541038	9.260e-01
187000	187000.000	254.932	-94.77095681	0.69200373	-94.07895308	4.125e-01
187500	187500.000	253.928	-94.44213804	0.68927801	-93.75286003	7.386e-01
188000	188000.000	282.926	-94.44522624	0.76799130	-93.67723493	8.142e-01
188500	188500.000	302.702	-94.70631435	0.82167196	-93.88464239	6.068e-01
189000	189000.000	231.771	-94.70688706	0.62913287	-94.07775419	4.137e-01
189500	189500.000	254.787	-94.73655422	0.69160950	-94.04494472	4.465e-01
190000	190000.000	306.589	-94.34285203	0.83222204	-93.51062999	9.808e-01
190500	190500.000	247.353	-94.35294298	0.67142922	-93.68151377	8.099e-01
191000	191000.000	184.764	-94.40771751	0.50153494	-93.90618258	5.853e-01
191500	191500.000	372.141	-94.06697636	1.01016116	-93.05681520	1.435e+00
192000	192000.000	296.013	-94.47334467	0.80351448	-93.66983019	8.216e-01
192500	192500.000	340.186	-94.32787312	0.92342103	-93.40445210	1.087e+00
193000	193000.000	248.428	-94.47960847	0.67434698	-93.80526148	6.862e-01
193500	193500.000	261.166	-94.41077831	0.70892441	-93.70185390	7.896e-01
194000	194000.000	241.446	-94.37759710	0.65539616	-93.72220093	7.693e-01
194500	194500.000	214.277	-94.29222129	0.58164561	-93.71057568	7.809e-01
195000	195000.000	406.893	-94.36865273	1.10449505	-93.26415768	1.227e+00
195500	195500.000	239.749	-94.55327029	0.65078855	-93.90248174	5.890e-01
196000	196000.000	219.954	-94.64240883	0.59705484	-94.04535400	4.461e-01
196500	196500.000	250.842	-94.55506624	0.68089998	-93.87416626	6.173e-01
197000	197000.000	293.973	-94.28526272	0.79797864	-93.48728408	1.004e+00
197500	197500.000	350.809	-94.24110456	0.95225728	-93.28884728	1.203e+00
198000	198000.000	354.376	-94.23840945	0.96193910	-93.27647035	1.215e+00
198500	198500.000	389.418	-94.36903600	1.05705798	-93.31197802	1.179e+00
199000	199000.000	276.031	-94.59890718	0.74927491	-93.84963227	6.418e-01
199500	199500.000	292.030	-94.37432536	0.79270303	-93.58162233	9.098e-01
200000	200000.000	399.824	-94.26559685	1.08530653	-93.18029032	1.311e+00
