# integrator: Langevin BAOAB
# timestep_fs: 1.0
# seed: 0
# n_atoms: 22
# dof: 63
# temperature_dof_convention: 3N - 3 (centre of mass pinned)
# calculator: MACE(model='MACE-OFF23_small', cueq=False, energy_reference='atoms', dtype='float32')
# dtype: float32
# energy_offset_eV: -13406.88400353325
# pbc: [False, False, False]
# neighborlist_capacity: 384
# device: gpu
# ensemble: NVT
# temperature_K: 300.0
# friction_per_fs: 0.01
# fix_com: True
# step	time_fs	T_K	E_pot_eV	E_kin_eV	E_tot_eV	dE_tot_eV
37500	37500.000	361.881	-94.50069442	0.98231119	-93.51838323	9.731e-01
38000	38000.000	221.709	-94.25747895	0.60181940	-93.65565956	8.358e-01
38500	38500.000	338.761	-94.45852672	0.91955245	-93.53897428	9.525e-01
39000	39000.000	236.206	-94.69247214	0.64117235	-94.05129979	4.402e-01
39500	39500.000	183.383	-94.70831311	0.49778637	-94.21052674	2.809e-01
40000	40000.000	279.281	-94.65452026	0.75809759	-93.89642267	5.950e-01
40500	40500.000	260.625	-94.44611185	0.70745456	-93.73865729	7.528e-01
41000	41000.000	283.183	-94.39762367	0.76868784	-93.62893583	8.625e-01
41500	41500.000	326.898	-94.33635822	0.88735223	-93.44900599	1.042e+00
42000	42000.000	289.540	-94.38012902	0.78594458	-93.59418444	8.973e-01
42500	42500.000	267.899	-94.73352331	0.72720134	-94.00632197	4.851e-01
43000	43000.000	290.963	-94.77826773	0.78980839	-93.98845933	5.030e-01
43500	43500.000	288.018	-94.66343904	0.78181291	-93.88162614	6.098e-01
44000	44000.000	391.883	-94.41247149	1.06375134	-93.34872015	1.143e+00
44500	44500.000	282.785	-94.55441138	0.76760817	-93.78680322	7.047e-01
45000	45000.000	242.800	-94.55425591	0.65907097	-93.89518494	5.963e-01
45500	45500.000	236.448	-94.75852572	0.64182711	-94.11669862	3.748e-01
46000	46000.000	317.977	-94.34359421	0.86313474	-93.48045947	1.011e+00
46500	46500.000	258.513	-94.63541500	0.70172191	-93.93369310	5.578e-01
47000	47000.000	316.024	-94.43179124	0.85783291	-93.57395833	9.175e-01
47500	47500.000	230.838	-94.38096659	0.62660134	-93.75436525	7.371e-01
48000	48000.000	311.634	-94.43565246	0.84591705	-93.58973541	9.017e-01
48500	48500.000	293.383	-94.53696674	0.79637611	-93.74059063	7.509e-01
49000	49000.000	371.830	-94.52069713	1.00931704	-93.51138009	9.801e-01
49500	49500.000	344.729	-94.54163867	0.93575191	-93.60588676	8.856e-01
50000	50000.000	357.480	-94.49879272	0.97036576	-93.52842695	9.630e-01
50500	50500.000	257.333	-94.50129862	0.69852036	-93.80277825	6.887e-01
51000	51000.000	295.817	-94.74315329	0.80298412	-93.94016917	5.513e-01
51500	51500.000	327.244	-94.44089819	0.88829118	-93.55260701	9.388e-01
52000	52000.000	232.356	-94.68987561	0.63072181	-94.05915380	4.323e-01
52500	52500.000	260.284	-94.45065300	0.70652914	-93.74412386	7.473e-01
53000	53000.000	240.719	-94.49688037	0.65342212	-93.84345825	6.480e-01
53500	53500.000	259.898	-94.67052133	0.70548272	-93.96503861	5.264e-01
54000	54000.000	274.092	-94.78226365	0.74401093	-94.03825272	4.532e-01
54500	54500.000	237.747	-94.39798145	0.64535332	-93.75262814	7.388e-01
55000	55000.000	341.397	-94.48786282	0.92670810	-93.56115472	9.303e-01
55500	55500.000	234.810	-94.38434378	0.63738155	-93.74696223	7.445e-01
56000	56000.000	310.546	-94.33944114	0.84296322	-93.49647792	9.950e-01
56500	56500.000	331.303	-94.31320207	0.89930910	-93.41389297	1.078e+00
57000	57000.000	262.177	-94.55010700	0.71166813	-93.83843886	6.530e-01
57500	57500.000	349.562	-94.17837966	0.94887102	-93.22950865	1.262e+00
58000	58000.000	368.016	-94.39453848	0.99896461	-93.39557388	1.096e+00
58500	58500.000	314.635	-94.50250295	0.85406411	-93.64843884	8.430e-01
59000	59000.000	421.069	-94.47065304	1.14297569	-93.32767736	1.164e+00
59500	59500.000	236.946	-94.59460416	0.64318019	-93.95142396	5.400e-01
60000	60000.000	286.401	-94.76816688	0.77742314	-93.99074374	5.007e-01
